country,year,food_supply,region,lifeexpband
Nigeria,1961,1950.0,Sub-Saharan Africa,L
North Korea,1961,1880.0,East Asia & Pacific,M
Norway,1961,2780.0,Europe & Central Asia,H
Oman,1961,,Middle East & North Africa,H
Pakistan,1961,1880.0,South Asia,M
Panama,1961,2100.0,Latin America & Caribbean,H
Paraguay,1961,2140.0,Latin America & Caribbean,H
Peru,1961,2130.0,Latin America & Caribbean,H
Philippines,1961,1790.0,East Asia & Pacific,M
Poland,1961,3270.0,Europe & Central Asia,H
Portugal,1961,2480.0,Europe & Central Asia,H
Romania,1961,2830.0,Europe & Central Asia,H
Russia,1961,,Europe & Central Asia,M
Rwanda,1961,1790.0,Sub-Saharan Africa,M
Samoa,1961,1980.0,East Asia & Pacific,M
Sao Tome and Principe,1961,2270.0,,M
Saudi Arabia,1961,1720.0,Middle East & North Africa,H
Senegal,1961,2290.0,Sub-Saharan Africa,M
Serbia,1961,,Europe & Central Asia,H
Sierra Leone,1961,1820.0,Sub-Saharan Africa,L
Slovak Republic,1961,,Europe & Central Asia,H
Slovenia,1961,,Europe & Central Asia,H
Solomon Islands,1961,2200.0,East Asia & Pacific,L
South Africa,1961,2670.0,Sub-Saharan Africa,L
South Korea,1961,2140.0,East Asia & Pacific,H
Spain,1961,2660.0,Europe & Central Asia,H
Sri Lanka,1961,2070.0,South Asia,H
St. Kitts and Nevis,1961,1720.0,Latin America & Caribbean,
St. Lucia,1961,1690.0,Latin America & Caribbean,H
St. Vincent and the Grenadines,1961,1810.0,Latin America & Caribbean,M
Sudan,1961,1590.0,Sub-Saharan Africa,M
Suriname,1961,1910.0,Latin America & Caribbean,M
Swaziland,1961,2220.0,Sub-Saharan Africa,L
Sweden,1961,2850.0,Europe & Central Asia,H
Switzerland,1961,3580.0,Europe & Central Asia,H
Tajikistan,1961,,Europe & Central Asia,M
Tanzania,1961,1750.0,Sub-Saharan Africa,L
Thailand,1961,1940.0,East Asia & Pacific,H
Timor-Leste,1961,1740.0,East Asia & Pacific,M
Togo,1961,2040.0,Sub-Saharan Africa,L
Trinidad and Tobago,1961,2280.0,Latin America & Caribbean,H
Tunisia,1961,2240.0,Middle East & North Africa,H
Turkey,1961,2960.0,Europe & Central Asia,H
Turkmenistan,1961,,Europe & Central Asia,M
Uganda,1961,2310.0,Sub-Saharan Africa,L
Ukraine,1961,,Europe & Central Asia,M
United Arab Emirates,1961,2890.0,Middle East & North Africa,H
United Kingdom,1961,3230.0,Europe & Central Asia,H
United States,1961,2880.0,North America,H
Uruguay,1961,2790.0,Latin America & Caribbean,H
Uzbekistan,1961,,Europe & Central Asia,M
Vanuatu,1961,2450.0,East Asia & Pacific,L
Venezuela,1961,2160.0,Latin America & Caribbean,H
Vietnam,1961,1910.0,East Asia & Pacific,H
Yemen,1961,1790.0,Middle East & North Africa,M
Zambia,1961,2160.0,Sub-Saharan Africa,L
Zimbabwe,1961,2120.0,Sub-Saharan Africa,L
Afghanistan,1962,2920.0,South Asia,L
Albania,1962,2240.0,Europe & Central Asia,H
Algeria,1962,1570.0,Middle East & North Africa,H
Angola,1962,1820.0,Sub-Saharan Africa,L
Antigua and Barbuda,1962,2190.0,Latin America & Caribbean,H
Argentina,1962,3080.0,Latin America & Caribbean,H
Armenia,1962,,Europe & Central Asia,H
Australia,1962,3110.0,East Asia & Pacific,H
Austria,1962,3190.0,Europe & Central Asia,H
Azerbaijan,1962,,Europe & Central Asia,M
Bahamas,1962,2390.0,,H
Bangladesh,1962,2130.0,South Asia,M
Barbados,1962,2580.0,Latin America & Caribbean,H
Belarus,1962,,Europe & Central Asia,H
Belgium,1962,,Europe & Central Asia,H
Belize,1962,2230.0,Latin America & Caribbean,M
Benin,1962,1760.0,Sub-Saharan Africa,L
Bolivia,1962,1760.0,Latin America & Caribbean,M
Bosnia and Herzegovina,1962,,Europe & Central Asia,H
Botswana,1962,1910.0,Sub-Saharan Africa,L
Brazil,1962,2270.0,Latin America & Caribbean,H
Brunei,1962,1970.0,East Asia & Pacific,H
Bulgaria,1962,3220.0,Europe & Central Asia,H
Burkina Faso,1962,1310.0,Sub-Saharan Africa,L
Cambodia,1962,1880.0,East Asia & Pacific,M
Cameroon,1962,2020.0,Sub-Saharan Africa,L
Canada,1962,2840.0,North America,H
Cape Verde,1962,1540.0,,H
Central African Republic,1962,2220.0,Sub-Saharan Africa,L
Chad,1962,2370.0,Sub-Saharan Africa,L
Chile,1962,2530.0,Latin America & Caribbean,H
China,1962,1530.0,East Asia & Pacific,H
Colombia,1962,2210.0,Latin America & Caribbean,H
"Congo, Rep.",1962,2090.0,Sub-Saharan Africa,L
Costa Rica,1962,2020.0,Latin America & Caribbean,H
Cote d'Ivoire,1962,2420.0,,L
Croatia,1962,,Europe & Central Asia,H
Cuba,1962,2190.0,Latin America & Caribbean,H
Cyprus,1962,2420.0,Europe & Central Asia,H
Czech Republic,1962,,Europe & Central Asia,H
Denmark,1962,3100.0,Europe & Central Asia,H
Djibouti,1962,1650.0,Middle East & North Africa,M
Dominica,1962,1800.0,Latin America & Caribbean,M
Dominican Republic,1962,1850.0,Latin America & Caribbean,H
Ecuador,1962,2030.0,Latin America & Caribbean,H
Egypt,1962,2150.0,Middle East & North Africa,M
El Salvador,1962,1610.0,Latin America & Caribbean,H
Estonia,1962,,Europe & Central Asia,H
Ethiopia,1962,,Sub-Saharan Africa,M
Fiji,1962,2640.0,East Asia & Pacific,M
Finland,1962,3150.0,Europe & Central Asia,H
France,1962,3260.0,Europe & Central Asia,H
Gabon,1962,1930.0,Sub-Saharan Africa,M
Gambia,1962,2080.0,,M
Georgia,1962,,Europe & Central Asia,H
Germany,1962,2920.0,Europe & Central Asia,H
Ghana,1962,1940.0,Sub-Saharan Africa,M
Greece,1962,2780.0,Europe & Central Asia,H
Grenada,1962,1810.0,Latin America & Caribbean,M
Guatemala,1962,1850.0,Latin America & Caribbean,M
Guinea,1962,1940.0,Sub-Saharan Africa,L
Guinea-Bissau,1962,1570.0,Sub-Saharan Africa,L
Guyana,1962,2310.0,Latin America & Caribbean,M
Haiti,1962,1940.0,Latin America & Caribbean,L
Honduras,1962,1850.0,Latin America & Caribbean,M
Hungary,1962,3050.0,Europe & Central Asia,H
Iceland,1962,3320.0,Europe & Central Asia,H
India,1962,2050.0,South Asia,M
Indonesia,1962,1830.0,East Asia & Pacific,M
Iran,1962,1750.0,Middle East & North Africa,H
Iraq,1962,1860.0,Middle East & North Africa,M
Ireland,1962,3370.0,Europe & Central Asia,H
Israel,1962,2820.0,Middle East & North Africa,H
Italy,1962,3020.0,Europe & Central Asia,H
Jamaica,1962,2020.0,Latin America & Caribbean,H
Japan,1962,2570.0,East Asia & Pacific,H
Jordan,1962,2140.0,Middle East & North Africa,H
Kazakhstan,1962,,Europe & Central Asia,M
Kenya,1962,2250.0,Sub-Saharan Africa,M
Kiribati,1962,2510.0,East Asia & Pacific,L
Kuwait,1962,2550.0,Middle East & North Africa,H
Kyrgyz Republic,1962,,Europe & Central Asia,M
Lao,1962,1920.0,,M
Latvia,1962,,Europe & Central Asia,H
Lebanon,1962,2470.0,Middle East & North Africa,H
Lesotho,1962,2000.0,Sub-Saharan Africa,L
Liberia,1962,2060.0,Sub-Saharan Africa,L
Lithuania,1962,,Europe & Central Asia,H
Luxembourg,1962,,Europe & Central Asia,H
"Macedonia, FYR",1962,,Europe & Central Asia,H
Madagascar,1962,2400.0,Sub-Saharan Africa,L
Malawi,1962,2010.0,Sub-Saharan Africa,L
Malaysia,1962,2440.0,East Asia & Pacific,H
Maldives,1962,1570.0,South Asia,H
Mali,1962,1700.0,Sub-Saharan Africa,L
Malta,1962,2850.0,Middle East & North Africa,H
Mauritania,1962,2210.0,Sub-Saharan Africa,M
Mauritius,1962,2410.0,Sub-Saharan Africa,H
Mexico,1962,2290.0,Latin America & Caribbean,H
Moldova,1962,,Europe & Central Asia,M
Mongolia,1962,1950.0,East Asia & Pacific,M
Montenegro,1962,,Europe & Central Asia,H
Morocco,1962,2070.0,Middle East & North Africa,H
Mozambique,1962,1860.0,Sub-Saharan Africa,L
