country,year,food_supply,region,lifeexpband
Malta,1969,3140.0,Middle East & North Africa,H
Mauritania,1969,2090.0,Sub-Saharan Africa,M
Mauritius,1969,2220.0,Sub-Saharan Africa,H
Mexico,1969,2510.0,Latin America & Caribbean,H
Moldova,1969,,Europe & Central Asia,M
Mongolia,1969,2180.0,East Asia & Pacific,M
Montenegro,1969,,Europe & Central Asia,H
Morocco,1969,2350.0,Middle East & North Africa,H
Mozambique,1969,1840.0,Sub-Saharan Africa,L
Myanmar,1969,1440.0,East Asia & Pacific,M
Namibia,1969,2220.0,Sub-Saharan Africa,L
Nepal,1969,1790.0,South Asia,M
Netherlands,1969,3040.0,Europe & Central Asia,H
New Zealand,1969,2960.0,East Asia & Pacific,H
Nicaragua,1969,2080.0,Latin America & Caribbean,H
Niger,1969,1990.0,Sub-Saharan Africa,L
Nigeria,1969,1950.0,Sub-Saharan Africa,L
North Korea,1969,2090.0,East Asia & Pacific,M
Norway,1969,3000.0,Europe & Central Asia,H
Oman,1969,,Middle East & North Africa,H
Pakistan,1969,2380.0,South Asia,M
Panama,1969,2350.0,Latin America & Caribbean,H
Paraguay,1969,2420.0,Latin America & Caribbean,H
Peru,1969,2310.0,Latin America & Caribbean,H
Philippines,1969,1850.0,East Asia & Pacific,M
Poland,1969,3410.0,Europe & Central Asia,H
Portugal,1969,3060.0,Europe & Central Asia,H
Romania,1969,3020.0,Europe & Central Asia,H
Russia,1969,,Europe & Central Asia,M
Rwanda,1969,2260.0,Sub-Saharan Africa,M
Samoa,1969,2160.0,East Asia & Pacific,M
Sao Tome and Principe,1969,2140.0,,M
Saudi Arabia,1969,1870.0,Middle East & North Africa,H
Senegal,1969,2360.0,Sub-Saharan Africa,M
Serbia,1969,,Europe & Central Asia,H
Sierra Leone,1969,2280.0,Sub-Saharan Africa,L
Slovak Republic,1969,,Europe & Central Asia,H
Slovenia,1969,,Europe & Central Asia,H
Solomon Islands,1969,2260.0,East Asia & Pacific,L
South Africa,1969,2790.0,Sub-Saharan Africa,L
South Korea,1969,2720.0,East Asia & Pacific,H
Spain,1969,2640.0,Europe & Central Asia,H
Sri Lanka,1969,2290.0,South Asia,H
St. Kitts and Nevis,1969,2000.0,Latin America & Caribbean,
St. Lucia,1969,1840.0,Latin America & Caribbean,H
St. Vincent and the Grenadines,1969,2190.0,Latin America & Caribbean,M
Sudan,1969,1830.0,Sub-Saharan Africa,M
Suriname,1969,2280.0,Latin America & Caribbean,M
Swaziland,1969,2230.0,Sub-Saharan Africa,L
Sweden,1969,2810.0,Europe & Central Asia,H
Switzerland,1969,3430.0,Europe & Central Asia,H
Tajikistan,1969,,Europe & Central Asia,M
Tanzania,1969,1710.0,Sub-Saharan Africa,L
Thailand,1969,2190.0,East Asia & Pacific,H
Timor-Leste,1969,1790.0,East Asia & Pacific,M
Togo,1969,2070.0,Sub-Saharan Africa,L
Trinidad and Tobago,1969,2480.0,Latin America & Caribbean,H
Tunisia,1969,2320.0,Middle East & North Africa,H
Turkey,1969,3060.0,Europe & Central Asia,H
Turkmenistan,1969,,Europe & Central Asia,M
Uganda,1969,2360.0,Sub-Saharan Africa,L
Ukraine,1969,,Europe & Central Asia,M
United Arab Emirates,1969,2940.0,Middle East & North Africa,H
United Kingdom,1969,3240.0,Europe & Central Asia,H
United States,1969,3030.0,North America,H
Uruguay,1969,2870.0,Latin America & Caribbean,H
Uzbekistan,1969,,Europe & Central Asia,M
Vanuatu,1969,2600.0,East Asia & Pacific,L
Venezuela,1969,2320.0,Latin America & Caribbean,H
Vietnam,1969,1950.0,East Asia & Pacific,H
Yemen,1969,1860.0,Middle East & North Africa,M
Zambia,1969,2250.0,Sub-Saharan Africa,L
Zimbabwe,1969,2220.0,Sub-Saharan Africa,L
Afghanistan,1970,2530.0,South Asia,L
Albania,1970,2420.0,Europe & Central Asia,H
Algeria,1970,1680.0,Middle East & North Africa,H
Angola,1970,1970.0,Sub-Saharan Africa,L
Antigua and Barbuda,1970,2240.0,Latin America & Caribbean,H
Argentina,1970,3330.0,Latin America & Caribbean,H
Armenia,1970,,Europe & Central Asia,H
Australia,1970,3160.0,East Asia & Pacific,H
Austria,1970,3220.0,Europe & Central Asia,H
Azerbaijan,1970,,Europe & Central Asia,M
Bahamas,1970,2620.0,,H
Bangladesh,1970,2200.0,South Asia,M
Barbados,1970,2810.0,Latin America & Caribbean,H
Belarus,1970,,Europe & Central Asia,H
Belgium,1970,,Europe & Central Asia,H
Belize,1970,2280.0,Latin America & Caribbean,M
Benin,1970,1810.0,Sub-Saharan Africa,L
Bolivia,1970,2010.0,Latin America & Caribbean,M
Bosnia and Herzegovina,1970,,Europe & Central Asia,H
Botswana,1970,2040.0,Sub-Saharan Africa,L
Brazil,1970,2410.0,Latin America & Caribbean,H
Brunei,1970,2130.0,East Asia & Pacific,H
Bulgaria,1970,3450.0,Europe & Central Asia,H
Burkina Faso,1970,1550.0,Sub-Saharan Africa,L
Cambodia,1970,2090.0,East Asia & Pacific,M
Cameroon,1970,2170.0,Sub-Saharan Africa,L
Canada,1970,2960.0,North America,H
Cape Verde,1970,1660.0,,H
Central African Republic,1970,2340.0,Sub-Saharan Africa,L
Chad,1970,2110.0,Sub-Saharan Africa,L
Chile,1970,2640.0,Latin America & Caribbean,H
China,1970,1840.0,East Asia & Pacific,H
Colombia,1970,2050.0,Latin America & Caribbean,H
"Congo, Rep.",1970,1890.0,Sub-Saharan Africa,L
Costa Rica,1970,2250.0,Latin America & Caribbean,H
Cote d'Ivoire,1970,2660.0,,L
Croatia,1970,,Europe & Central Asia,H
Cuba,1970,2580.0,Latin America & Caribbean,H
Cyprus,1970,3060.0,Europe & Central Asia,H
Czech Republic,1970,,Europe & Central Asia,H
Denmark,1970,3160.0,Europe & Central Asia,H
Djibouti,1970,1710.0,Middle East & North Africa,M
Dominica,1970,2000.0,Latin America & Caribbean,M
Dominican Republic,1970,1960.0,Latin America & Caribbean,H
Ecuador,1970,2190.0,Latin America & Caribbean,H
Egypt,1970,2270.0,Middle East & North Africa,M
El Salvador,1970,1740.0,Latin America & Caribbean,H
Estonia,1970,,Europe & Central Asia,H
Ethiopia,1970,,Sub-Saharan Africa,M
Fiji,1970,2290.0,East Asia & Pacific,M
Finland,1970,3130.0,Europe & Central Asia,H
France,1970,3310.0,Europe & Central Asia,H
Gabon,1970,1950.0,Sub-Saharan Africa,M
Gambia,1970,2240.0,,M
Georgia,1970,,Europe & Central Asia,H
Germany,1970,3100.0,Europe & Central Asia,H
Ghana,1970,2150.0,Sub-Saharan Africa,M
Greece,1970,3150.0,Europe & Central Asia,H
Grenada,1970,2240.0,Latin America & Caribbean,M
Guatemala,1970,2030.0,Latin America & Caribbean,M
Guinea,1970,2020.0,Sub-Saharan Africa,L
Guinea-Bissau,1970,1530.0,Sub-Saharan Africa,L
Guyana,1970,2240.0,Latin America & Caribbean,M
Haiti,1970,1870.0,Latin America & Caribbean,L
Honduras,1970,2080.0,Latin America & Caribbean,M
Hungary,1970,3250.0,Europe & Central Asia,H
Iceland,1970,3020.0,Europe & Central Asia,H
India,1970,2110.0,South Asia,M
Indonesia,1970,1930.0,East Asia & Pacific,M
Iran,1970,2100.0,Middle East & North Africa,H
Iraq,1970,2140.0,Middle East & North Africa,M
Ireland,1970,3440.0,Europe & Central Asia,H
Israel,1970,3130.0,Middle East & North Africa,H
Italy,1970,3460.0,Europe & Central Asia,H
Jamaica,1970,2490.0,Latin America & Caribbean,H
Japan,1970,2740.0,East Asia & Pacific,H
Jordan,1970,2160.0,Middle East & North Africa,H
Kazakhstan,1970,,Europe & Central Asia,M
Kenya,1970,2300.0,Sub-Saharan Africa,M
Kiribati,1970,2690.0,East Asia & Pacific,L
Kuwait,1970,2570.0,Middle East & North Africa,H
Kyrgyz Republic,1970,,Europe & Central Asia,M
Lao,1970,2020.0,,M
Latvia,1970,,Europe & Central Asia,H
Lebanon,1970,2510.0,Middle East & North Africa,H
Lesotho,1970,2020.0,Sub-Saharan Africa,L
Liberia,1970,2390.0,Sub-Saharan Africa,L
Lithuania,1970,,Europe & Central Asia,H
Luxembourg,1970,,Europe & Central Asia,H
"Macedonia, FYR",1970,,Europe & Central Asia,H
Madagascar,1970,2510.0,Sub-Saharan Africa,L
Malawi,1970,2350.0,Sub-Saharan Africa,L
Malaysia,1970,2590.0,East Asia & Pacific,H
Maldives,1970,1780.0,South Asia,H
Mali,1970,1970.0,Sub-Saharan Africa,L
Malta,1970,3130.0,Middle East & North Africa,H
Mauritania,1970,1990.0,Sub-Saharan Africa,M
Mauritius,1970,2350.0,Sub-Saharan Africa,H
Mexico,1970,2540.0,Latin America & Caribbean,H
Moldova,1970,,Europe & Central Asia,M
Mongolia,1970,2210.0,East Asia & Pacific,M
Montenegro,1970,,Europe & Central Asia,H
Morocco,1970,2340.0,Middle East & North Africa,H
Mozambique,1970,1800.0,Sub-Saharan Africa,L
Myanmar,1970,1460.0,East Asia & Pacific,M
Namibia,1970,2200.0,Sub-Saharan Africa,L
Nepal,1970,1770.0,South Asia,M
Netherlands,1970,3030.0,Europe & Central Asia,H
New Zealand,1970,2960.0,East Asia & Pacific,H
Nicaragua,1970,2070.0,Latin America & Caribbean,H
Niger,1970,1960.0,Sub-Saharan Africa,L
Nigeria,1970,1990.0,Sub-Saharan Africa,L
North Korea,1970,2070.0,East Asia & Pacific,M
Norway,1970,3010.0,Europe & Central Asia,H
Oman,1970,,Middle East & North Africa,H
Pakistan,1970,2370.0,South Asia,M
Panama,1970,2190.0,Latin America & Caribbean,H
Paraguay,1970,2460.0,Latin America & Caribbean,H
Peru,1970,2190.0,Latin America & Caribbean,H
Philippines,1970,1810.0,East Asia & Pacific,M
Poland,1970,3420.0,Europe & Central Asia,H
Portugal,1970,3010.0,Europe & Central Asia,H
Romania,1970,2860.0,Europe & Central Asia,H
Russia,1970,,Europe & Central Asia,M
Rwanda,1970,2290.0,Sub-Saharan Africa,M
Samoa,1970,2220.0,East Asia & Pacific,M
Sao Tome and Principe,1970,2120.0,,M
Saudi Arabia,1970,1890.0,Middle East & North Africa,H
Senegal,1970,2190.0,Sub-Saharan Africa,M
Serbia,1970,,Europe & Central Asia,H
Sierra Leone,1970,2300.0,Sub-Saharan Africa,L
Slovak Republic,1970,,Europe & Central Asia,H
Slovenia,1970,,Europe & Central Asia,H
Solomon Islands,1970,2280.0,East Asia & Pacific,L
South Africa,1970,2820.0,Sub-Saharan Africa,L
South Korea,1970,2820.0,East Asia & Pacific,H
Spain,1970,2730.0,Europe & Central Asia,H
Sri Lanka,1970,2270.0,South Asia,H
St. Kitts and Nevis,1970,2080.0,Latin America & Caribbean,
St. Lucia,1970,1900.0,Latin America & Caribbean,H
St. Vincent and the Grenadines,1970,2250.0,Latin America & Caribbean,M
Sudan,1970,1960.0,Sub-Saharan Africa,M
Suriname,1970,2230.0,Latin America & Caribbean,M
Swaziland,1970,2290.0,Sub-Saharan Africa,L
Sweden,1970,2870.0,Europe & Central Asia,H
Switzerland,1970,3500.0,Europe & Central Asia,H
Tajikistan,1970,,Europe & Central Asia,M
Tanzania,1970,1710.0,Sub-Saharan Africa,L
Thailand,1970,2190.0,East Asia & Pacific,H
Timor-Leste,1970,1710.0,East Asia & Pacific,M
Togo,1970,2090.0,Sub-Saharan Africa,L
Trinidad and Tobago,1970,2460.0,Latin America & Caribbean,H
Tunisia,1970,2370.0,Middle East & North Africa,H
Turkey,1970,3140.0,Europe & Central Asia,H
Turkmenistan,1970,,Europe & Central Asia,M
Uganda,1970,2420.0,Sub-Saharan Africa,L
Ukraine,1970,,Europe & Central Asia,M
United Arab Emirates,1970,2930.0,Middle East & North Africa,H
United Kingdom,1970,3280.0,Europe & Central Asia,H
United States,1970,3030.0,North America,H
Uruguay,1970,2950.0,Latin America & Caribbean,H
Uzbekistan,1970,,Europe & Central Asia,M
Vanuatu,1970,2570.0,East Asia & Pacific,L
Venezuela,1970,2340.0,Latin America & Caribbean,H
Vietnam,1970,2020.0,East Asia & Pacific,H
Yemen,1970,1840.0,Middle East & North Africa,M
Zambia,1970,2240.0,Sub-Saharan Africa,L
Zimbabwe,1970,2290.0,Sub-Saharan Africa,L
Afghanistan,1971,2510.0,South Asia,L
Albania,1971,2360.0,Europe & Central Asia,H
Algeria,1971,1720.0,Middle East & North Africa,H
Angola,1971,2000.0,Sub-Saharan Africa,L
Antigua and Barbuda,1971,2170.0,Latin America & Caribbean,H
Argentina,1971,3170.0,Latin America & Caribbean,H
Armenia,1971,,Europe & Central Asia,H
Australia,1971,3180.0,East Asia & Pacific,H
Austria,1971,3230.0,Europe & Central Asia,H
Azerbaijan,1971,,Europe & Central Asia,M
Bahamas,1971,2590.0,,H
Bangladesh,1971,2030.0,South Asia,M
Barbados,1971,3020.0,Latin America & Caribbean,H
Belarus,1971,,Europe & Central Asia,H
Belgium,1971,,Europe & Central Asia,H
Belize,1971,2310.0,Latin America & Caribbean,M
Benin,1971,1890.0,Sub-Saharan Africa,L
Bolivia,1971,2060.0,Latin America & Caribbean,M
Bosnia and Herzegovina,1971,,Europe & Central Asia,H
Botswana,1971,2120.0,Sub-Saharan Africa,L
Brazil,1971,2430.0,Latin America & Caribbean,H
Brunei,1971,2280.0,East Asia & Pacific,H
Bulgaria,1971,3520.0,Europe & Central Asia,H
Burkina Faso,1971,1520.0,Sub-Saharan Africa,L
Cambodia,1971,2070.0,East Asia & Pacific,M
Cameroon,1971,2220.0,Sub-Saharan Africa,L
Canada,1971,2930.0,North America,H
Cape Verde,1971,1660.0,,H
Central African Republic,1971,2340.0,Sub-Saharan Africa,L
Chad,1971,2020.0,Sub-Saharan Africa,L
Chile,1971,2710.0,Latin America & Caribbean,H
China,1971,1850.0,East Asia & Pacific,H
Colombia,1971,2130.0,Latin America & Caribbean,H
"Congo, Rep.",1971,1930.0,Sub-Saharan Africa,L
Costa Rica,1971,2310.0,Latin America & Caribbean,H
Cote d'Ivoire,1971,2600.0,,L
Croatia,1971,,Europe & Central Asia,H
Cuba,1971,2750.0,Latin America & Caribbean,H
Cyprus,1971,3070.0,Europe & Central Asia,H
Czech Republic,1971,,Europe & Central Asia,H
Denmark,1971,3190.0,Europe & Central Asia,H
Djibouti,1971,1730.0,Middle East & North Africa,M
Dominica,1971,1970.0,Latin America & Caribbean,M
Dominican Republic,1971,1990.0,Latin America & Caribbean,H
Ecuador,1971,2130.0,Latin America & Caribbean,H
Egypt,1971,2260.0,Middle East & North Africa,M
El Salvador,1971,1800.0,Latin America & Caribbean,H
Estonia,1971,,Europe & Central Asia,H
Ethiopia,1971,,Sub-Saharan Africa,M
Fiji,1971,2580.0,East Asia & Pacific,M
Finland,1971,3140.0,Europe & Central Asia,H
France,1971,3290.0,Europe & Central Asia,H
Gabon,1971,1980.0,Sub-Saharan Africa,M
Gambia,1971,2270.0,,M
Georgia,1971,,Europe & Central Asia,H
Germany,1971,3110.0,Europe & Central Asia,H
Ghana,1971,2140.0,Sub-Saharan Africa,M
Greece,1971,3170.0,Europe & Central Asia,H
Grenada,1971,2200.0,Latin America & Caribbean,M
Guatemala,1971,2000.0,Latin America & Caribbean,M
Guinea,1971,2050.0,Sub-Saharan Africa,L
Guinea-Bissau,1971,1630.0,Sub-Saharan Africa,L
Guyana,1971,2230.0,Latin America & Caribbean,M
Haiti,1971,1880.0,Latin America & Caribbean,L
Honduras,1971,2030.0,Latin America & Caribbean,M
Hungary,1971,3270.0,Europe & Central Asia,H
Iceland,1971,2950.0,Europe & Central Asia,H
India,1971,1990.0,South Asia,M
Indonesia,1971,1960.0,East Asia & Pacific,M
Iran,1971,2040.0,Middle East & North Africa,H
Iraq,1971,2160.0,Middle East & North Africa,M
Ireland,1971,3480.0,Europe & Central Asia,H
Israel,1971,3280.0,Middle East & North Africa,H
Italy,1971,3450.0,Europe & Central Asia,H
Jamaica,1971,2560.0,Latin America & Caribbean,H
Japan,1971,2730.0,East Asia & Pacific,H
Jordan,1971,2190.0,Middle East & North Africa,H
Kazakhstan,1971,,Europe & Central Asia,M
Kenya,1971,2300.0,Sub-Saharan Africa,M
Kiribati,1971,2740.0,East Asia & Pacific,L
Kuwait,1971,2500.0,Middle East & North Africa,H
Kyrgyz Republic,1971,,Europe & Central Asia,M
Lao,1971,2020.0,,M
Latvia,1971,,Europe & Central Asia,H
Lebanon,1971,2510.0,Middle East & North Africa,H
Lesotho,1971,2080.0,Sub-Saharan Africa,L
Liberia,1971,2470.0,Sub-Saharan Africa,L
Lithuania,1971,,Europe & Central Asia,H
Luxembourg,1971,,Europe & Central Asia,H
"Macedonia, FYR",1971,,Europe & Central Asia,H
Madagascar,1971,2580.0,Sub-Saharan Africa,L
Malawi,1971,2400.0,Sub-Saharan Africa,L
Malaysia,1971,2530.0,East Asia & Pacific,H
Maldives,1971,1760.0,South Asia,H
Mali,1971,1710.0,Sub-Saharan Africa,L
Malta,1971,3150.0,Middle East & North Africa,H
Mauritania,1971,1960.0,Sub-Saharan Africa,M
Mauritius,1971,2370.0,Sub-Saharan Africa,H
Mexico,1971,2540.0,Latin America & Caribbean,H
Moldova,1971,,Europe & Central Asia,M
Mongolia,1971,2160.0,East Asia & Pacific,M
Montenegro,1971,,Europe & Central Asia,H
Morocco,1971,2430.0,Middle East & North Africa,H
Mozambique,1971,1870.0,Sub-Saharan Africa,L
Myanmar,1971,1480.0,East Asia & Pacific,M
Namibia,1971,2210.0,Sub-Saharan Africa,L
Nepal,1971,1760.0,South Asia,M
Netherlands,1971,3020.0,Europe & Central Asia,H
New Zealand,1971,3020.0,East Asia & Pacific,H
Nicaragua,1971,2050.0,Latin America & Caribbean,H
Niger,1971,2080.0,Sub-Saharan Africa,L
Nigeria,1971,1870.0,Sub-Saharan Africa,L
North Korea,1971,2100.0,East Asia & Pacific,M
Norway,1971,3040.0,Europe & Central Asia,H
Oman,1971,,Middle East & North Africa,H
Pakistan,1971,2290.0,South Asia,M
Panama,1971,2320.0,Latin America & Caribbean,H
Paraguay,1971,2450.0,Latin America & Caribbean,H
Peru,1971,2240.0,Latin America & Caribbean,H
Philippines,1971,1840.0,East Asia & Pacific,M
Poland,1971,3430.0,Europe & Central Asia,H
Portugal,1971,3030.0,Europe & Central Asia,H
Romania,1971,2970.0,Europe & Central Asia,H
Russia,1971,,Europe & Central Asia,M
Rwanda,1971,2260.0,Sub-Saharan Africa,M
Samoa,1971,2250.0,East Asia & Pacific,M
Sao Tome and Principe,1971,2080.0,,M
Saudi Arabia,1971,1900.0,Middle East & North Africa,H
Senegal,1971,2190.0,Sub-Saharan Africa,M
Serbia,1971,,Europe & Central Asia,H
Sierra Leone,1971,2260.0,Sub-Saharan Africa,L
Slovak Republic,1971,,Europe & Central Asia,H
Slovenia,1971,,Europe & Central Asia,H
Solomon Islands,1971,2220.0,East Asia & Pacific,L
South Africa,1971,2790.0,Sub-Saharan Africa,L
South Korea,1971,2900.0,East Asia & Pacific,H
Spain,1971,2760.0,Europe & Central Asia,H
Sri Lanka,1971,2210.0,South Asia,H
St. Kitts and Nevis,1971,2030.0,Latin America & Caribbean,
St. Lucia,1971,2030.0,Latin America & Caribbean,H
St. Vincent and the Grenadines,1971,2300.0,Latin America & Caribbean,M
Sudan,1971,1960.0,Sub-Saharan Africa,M
Suriname,1971,2220.0,Latin America & Caribbean,M
Swaziland,1971,2270.0,Sub-Saharan Africa,L
Sweden,1971,2910.0,Europe & Central Asia,H
Switzerland,1971,3450.0,Europe & Central Asia,H
Tajikistan,1971,,Europe & Central Asia,M
Tanzania,1971,1680.0,Sub-Saharan Africa,L
Thailand,1971,2190.0,East Asia & Pacific,H
Timor-Leste,1971,1700.0,East Asia & Pacific,M
Togo,1971,2190.0,Sub-Saharan Africa,L
Trinidad and Tobago,1971,2530.0,Latin America & Caribbean,H
Tunisia,1971,2470.0,Middle East & North Africa,H
Turkey,1971,3210.0,Europe & Central Asia,H
Turkmenistan,1971,,Europe & Central Asia,M
Uganda,1971,2380.0,Sub-Saharan Africa,L
Ukraine,1971,,Europe & Central Asia,M
United Arab Emirates,1971,2790.0,Middle East & North Africa,H
United Kingdom,1971,3250.0,Europe & Central Asia,H
United States,1971,3050.0,North America,H
Uruguay,1971,2800.0,Latin America & Caribbean,H
Uzbekistan,1971,,Europe & Central Asia,M
Vanuatu,1971,2650.0,East Asia & Pacific,L
Venezuela,1971,2320.0,Latin America & Caribbean,H
Vietnam,1971,1960.0,East Asia & Pacific,H
Yemen,1971,1830.0,Middle East & North Africa,M
Zambia,1971,2260.0,Sub-Saharan Africa,L
Zimbabwe,1971,2310.0,Sub-Saharan Africa,L
Afghanistan,1972,2660.0,South Asia,L
Albania,1972,2390.0,Europe & Central Asia,H
Algeria,1972,1850.0,Middle East & North Africa,H
Angola,1972,1960.0,Sub-Saharan Africa,L
Antigua and Barbuda,1972,1960.0,Latin America & Caribbean,H
Argentina,1972,3060.0,Latin America & Caribbean,H
Armenia,1972,,Europe & Central Asia,H
Australia,1972,3220.0,East Asia & Pacific,H
Austria,1972,3210.0,Europe & Central Asia,H
Azerbaijan,1972,,Europe & Central Asia,M
Bahamas,1972,2520.0,,H
Bangladesh,1972,1880.0,South Asia,M
Barbados,1972,2910.0,Latin America & Caribbean,H
Belarus,1972,,Europe & Central Asia,H
Belgium,1972,,Europe & Central Asia,H
Belize,1972,2320.0,Latin America & Caribbean,M
Benin,1972,1800.0,Sub-Saharan Africa,L
Bolivia,1972,2010.0,Latin America & Caribbean,M
Bosnia and Herzegovina,1972,,Europe & Central Asia,H
Botswana,1972,2130.0,Sub-Saharan Africa,L
Brazil,1972,2400.0,Latin America & Caribbean,H
Brunei,1972,2190.0,East Asia & Pacific,H
Bulgaria,1972,3470.0,Europe & Central Asia,H
Burkina Faso,1972,1460.0,Sub-Saharan Africa,L
Cambodia,1972,2020.0,East Asia & Pacific,M
Cameroon,1972,2260.0,Sub-Saharan Africa,L
Canada,1972,2940.0,North America,H
Cape Verde,1972,1750.0,,H
Central African Republic,1972,2360.0,Sub-Saharan Africa,L
Chad,1972,1880.0,Sub-Saharan Africa,L
Chile,1972,2720.0,Latin America & Caribbean,H
China,1972,1830.0,East Asia & Pacific,H
Colombia,1972,2150.0,Latin America & Caribbean,H
"Congo, Rep.",1972,2000.0,Sub-Saharan Africa,L
Costa Rica,1972,2340.0,Latin America & Caribbean,H
Cote d'Ivoire,1972,2560.0,,L
Croatia,1972,,Europe & Central Asia,H
Cuba,1972,2650.0,Latin America & Caribbean,H
Cyprus,1972,2820.0,Europe & Central Asia,H
Czech Republic,1972,,Europe & Central Asia,H
Denmark,1972,3100.0,Europe & Central Asia,H
Djibouti,1972,1690.0,Middle East & North Africa,M
Dominica,1972,1990.0,Latin America & Caribbean,M
Dominican Republic,1972,2020.0,Latin America & Caribbean,H
Ecuador,1972,2200.0,Latin America & Caribbean,H
Egypt,1972,2300.0,Middle East & North Africa,M
El Salvador,1972,1790.0,Latin America & Caribbean,H
Estonia,1972,,Europe & Central Asia,H
Ethiopia,1972,,Sub-Saharan Africa,M
Fiji,1972,2510.0,East Asia & Pacific,M
Finland,1972,3160.0,Europe & Central Asia,H
France,1972,3260.0,Europe & Central Asia,H
Gabon,1972,1950.0,Sub-Saharan Africa,M
Gambia,1972,2080.0,,M
Georgia,1972,,Europe & Central Asia,H
Germany,1972,3140.0,Europe & Central Asia,H
Ghana,1972,2070.0,Sub-Saharan Africa,M
Greece,1972,3130.0,Europe & Central Asia,H
Grenada,1972,2170.0,Latin America & Caribbean,M
Guatemala,1972,2010.0,Latin America & Caribbean,M
Guinea,1972,2030.0,Sub-Saharan Africa,L
Guinea-Bissau,1972,1580.0,Sub-Saharan Africa,L
Guyana,1972,2240.0,Latin America & Caribbean,M
Haiti,1972,1900.0,Latin America & Caribbean,L
Honduras,1972,2010.0,Latin America & Caribbean,M
Hungary,1972,3200.0,Europe & Central Asia,H
Iceland,1972,3070.0,Europe & Central Asia,H
India,1972,1990.0,South Asia,M
Indonesia,1972,1990.0,East Asia & Pacific,M
Iran,1972,2180.0,Middle East & North Africa,H
Iraq,1972,2090.0,Middle East & North Africa,M
Ireland,1972,3440.0,Europe & Central Asia,H
Israel,1972,3250.0,Middle East & North Africa,H
Italy,1972,3490.0,Europe & Central Asia,H
Jamaica,1972,2660.0,Latin America & Caribbean,H
Japan,1972,2780.0,East Asia & Pacific,H
Jordan,1972,2190.0,Middle East & North Africa,H
Kazakhstan,1972,,Europe & Central Asia,M
Kenya,1972,2350.0,Sub-Saharan Africa,M
Kiribati,1972,2790.0,East Asia & Pacific,L
Kuwait,1972,2560.0,Middle East & North Africa,H
Kyrgyz Republic,1972,,Europe & Central Asia,M
Lao,1972,2000.0,,M
Latvia,1972,,Europe & Central Asia,H
Lebanon,1972,2510.0,Middle East & North Africa,H
Lesotho,1972,2030.0,Sub-Saharan Africa,L
Liberia,1972,2360.0,Sub-Saharan Africa,L
Lithuania,1972,,Europe & Central Asia,H
Luxembourg,1972,,Europe & Central Asia,H
"Macedonia, FYR",1972,,Europe & Central Asia,H
Madagascar,1972,2530.0,Sub-Saharan Africa,L
Malawi,1972,2370.0,Sub-Saharan Africa,L
Malaysia,1972,2550.0,East Asia & Pacific,H
Maldives,1972,1690.0,South Asia,H
Mali,1972,1680.0,Sub-Saharan Africa,L
Malta,1972,3140.0,Middle East & North Africa,H
Mauritania,1972,1890.0,Sub-Saharan Africa,M
Mauritius,1972,2380.0,Sub-Saharan Africa,H
Mexico,1972,2570.0,Latin America & Caribbean,H
Moldova,1972,,Europe & Central Asia,M
Mongolia,1972,2150.0,East Asia & Pacific,M
Montenegro,1972,,Europe & Central Asia,H
Morocco,1972,2410.0,Middle East & North Africa,H
Mozambique,1972,1820.0,Sub-Saharan Africa,L
Myanmar,1972,1440.0,East Asia & Pacific,M
Namibia,1972,2190.0,Sub-Saharan Africa,L
Nepal,1972,1730.0,South Asia,M
Netherlands,1972,3060.0,Europe & Central Asia,H
New Zealand,1972,3050.0,East Asia & Pacific,H
Nicaragua,1972,2000.0,Latin America & Caribbean,H
Niger,1972,1930.0,Sub-Saharan Africa,L
Nigeria,1972,1660.0,Sub-Saharan Africa,L
North Korea,1972,2090.0,East Asia & Pacific,M
Norway,1972,3090.0,Europe & Central Asia,H
Oman,1972,,Middle East & North Africa,H
Pakistan,1972,2350.0,South Asia,M
Panama,1972,2120.0,Latin America & Caribbean,H
Paraguay,1972,2430.0,Latin America & Caribbean,H
Peru,1972,2160.0,Latin America & Caribbean,H
Philippines,1972,1900.0,East Asia & Pacific,M
Poland,1972,3470.0,Europe & Central Asia,H
Portugal,1972,3000.0,Europe & Central Asia,H
Romania,1972,3030.0,Europe & Central Asia,H
Russia,1972,,Europe & Central Asia,M
Rwanda,1972,2180.0,Sub-Saharan Africa,M
Samoa,1972,2250.0,East Asia & Pacific,M
Sao Tome and Principe,1972,2050.0,,M
Saudi Arabia,1972,1760.0,Middle East & North Africa,H
Senegal,1972,2150.0,Sub-Saharan Africa,M
Serbia,1972,,Europe & Central Asia,H
Sierra Leone,1972,2230.0,Sub-Saharan Africa,L
Slovak Republic,1972,,Europe & Central Asia,H
Slovenia,1972,,Europe & Central Asia,H
Solomon Islands,1972,2200.0,East Asia & Pacific,L
South Africa,1972,2860.0,Sub-Saharan Africa,L
South Korea,1972,2980.0,East Asia & Pacific,H
Spain,1972,2830.0,Europe & Central Asia,H
Sri Lanka,1972,2170.0,South Asia,H
St. Kitts and Nevis,1972,2180.0,Latin America & Caribbean,
St. Lucia,1972,1960.0,Latin America & Caribbean,H
St. Vincent and the Grenadines,1972,2320.0,Latin America & Caribbean,M
Sudan,1972,1950.0,Sub-Saharan Africa,M
Suriname,1972,2220.0,Latin America & Caribbean,M
Swaziland,1972,2270.0,Sub-Saharan Africa,L
Sweden,1972,2860.0,Europe & Central Asia,H
