country,year,food_supply,region
Lebanon,1968,2570.0,Middle East & North Africa
Malta,1968,3120.0,Middle East & North Africa
Morocco,1968,2240.0,Middle East & North Africa
Oman,1968,,Middle East & North Africa
Saudi Arabia,1968,1880.0,Middle East & North Africa
Tunisia,1968,2400.0,Middle East & North Africa
United Arab Emirates,1968,2930.0,Middle East & North Africa
Yemen,1968,1840.0,Middle East & North Africa
Algeria,1969,1710.0,Middle East & North Africa
Djibouti,1969,1580.0,Middle East & North Africa
Egypt,1969,2270.0,Middle East & North Africa
Iran,1969,2050.0,Middle East & North Africa
Iraq,1969,2120.0,Middle East & North Africa
Israel,1969,3140.0,Middle East & North Africa
Jordan,1969,2210.0,Middle East & North Africa
Kuwait,1969,2570.0,Middle East & North Africa
Lebanon,1969,2520.0,Middle East & North Africa
Malta,1969,3140.0,Middle East & North Africa
Morocco,1969,2350.0,Middle East & North Africa
Oman,1969,,Middle East & North Africa
Saudi Arabia,1969,1870.0,Middle East & North Africa
Tunisia,1969,2320.0,Middle East & North Africa
United Arab Emirates,1969,2940.0,Middle East & North Africa
Yemen,1969,1860.0,Middle East & North Africa
Algeria,1970,1680.0,Middle East & North Africa
Djibouti,1970,1710.0,Middle East & North Africa
Egypt,1970,2270.0,Middle East & North Africa
Iran,1970,2100.0,Middle East & North Africa
Iraq,1970,2140.0,Middle East & North Africa
Israel,1970,3130.0,Middle East & North Africa
Jordan,1970,2160.0,Middle East & North Africa
Kuwait,1970,2570.0,Middle East & North Africa
Lebanon,1970,2510.0,Middle East & North Africa
Malta,1970,3130.0,Middle East & North Africa
Morocco,1970,2340.0,Middle East & North Africa
Oman,1970,,Middle East & North Africa
Saudi Arabia,1970,1890.0,Middle East & North Africa
Tunisia,1970,2370.0,Middle East & North Africa
United Arab Emirates,1970,2930.0,Middle East & North Africa
Yemen,1970,1840.0,Middle East & North Africa
Algeria,1971,1720.0,Middle East & North Africa
Djibouti,1971,1730.0,Middle East & North Africa
Egypt,1971,2260.0,Middle East & North Africa
Iran,1971,2040.0,Middle East & North Africa
Iraq,1971,2160.0,Middle East & North Africa
Israel,1971,3280.0,Middle East & North Africa
Jordan,1971,2190.0,Middle East & North Africa
Kuwait,1971,2500.0,Middle East & North Africa
Lebanon,1971,2510.0,Middle East & North Africa
Malta,1971,3150.0,Middle East & North Africa
Morocco,1971,2430.0,Middle East & North Africa
Oman,1971,,Middle East & North Africa
Saudi Arabia,1971,1900.0,Middle East & North Africa
Tunisia,1971,2470.0,Middle East & North Africa
United Arab Emirates,1971,2790.0,Middle East & North Africa
Yemen,1971,1830.0,Middle East & North Africa
Algeria,1972,1850.0,Middle East & North Africa
Djibouti,1972,1690.0,Middle East & North Africa
Egypt,1972,2300.0,Middle East & North Africa
Iran,1972,2180.0,Middle East & North Africa
Iraq,1972,2090.0,Middle East & North Africa
Israel,1972,3250.0,Middle East & North Africa
Jordan,1972,2190.0,Middle East & North Africa
Kuwait,1972,2560.0,Middle East & North Africa
Lebanon,1972,2510.0,Middle East & North Africa
Malta,1972,3140.0,Middle East & North Africa
Morocco,1972,2410.0,Middle East & North Africa
Oman,1972,,Middle East & North Africa
Saudi Arabia,1972,1760.0,Middle East & North Africa
Tunisia,1972,2620.0,Middle East & North Africa
United Arab Emirates,1972,2710.0,Middle East & North Africa
Yemen,1972,1840.0,Middle East & North Africa
Algeria,1973,1850.0,Middle East & North Africa
Djibouti,1973,1780.0,Middle East & North Africa
Egypt,1973,2350.0,Middle East & North Africa
Iran,1973,2330.0,Middle East & North Africa
Iraq,1973,2110.0,Middle East & North Africa
Israel,1973,3310.0,Middle East & North Africa
Jordan,1973,2150.0,Middle East & North Africa
Kuwait,1973,2500.0,Middle East & North Africa
Lebanon,1973,2500.0,Middle East & North Africa
Malta,1973,3090.0,Middle East & North Africa
Morocco,1973,2440.0,Middle East & North Africa
Oman,1973,,Middle East & North Africa
Saudi Arabia,1973,1680.0,Middle East & North Africa
Tunisia,1973,2610.0,Middle East & North Africa
United Arab Emirates,1973,3340.0,Middle East & North Africa
Yemen,1973,1870.0,Middle East & North Africa
Algeria,1974,1980.0,Middle East & North Africa
Djibouti,1974,1690.0,Middle East & North Africa
Egypt,1974,2390.0,Middle East & North Africa
Iran,1974,2400.0,Middle East & North Africa
Iraq,1974,2150.0,Middle East & North Africa
Israel,1974,3220.0,Middle East & North Africa
Jordan,1974,2170.0,Middle East & North Africa
